target_field,source_field,source_object,citation_layer,required,mapping_rule
doc_id,RetrievedChunk.doc_id or metadata.doc_id,RetrievedChunk/CitationCandidate,formal,yes,Copy document identity; mismatch between chunk doc_id and metadata doc_id blocks.
canonical_source.paper_title,RetrievedChunk.title after table-caption prefix stripping or paper metadata title,RetrievedChunk/CitationCandidate,formal,no,Use canonical paper title when available; table caption alone is not a paper title.
canonical_source.source_file,RetrievedChunk.source_file only if it is canonical paper source,RetrievedChunk/CitationCandidate,formal,no,Must not copy source_csv_path or source_pdf_crop_path; debug paths block formal mapping.
table_scope.table_id,metadata.table_id,RetrievedChunk.metadata,formal,yes,Copy table id; missing value blocks table citation.
table_scope.table_caption,metadata.caption or RetrievedChunk.title,RetrievedChunk.metadata,formal,no,"Use caption for table scope, not paper identity."
evidence_scope.row_label,metadata.row_label,RetrievedChunk.metadata,formal,scope-dependent,Required for row and cell_group scopes; null allowed for table scope.
evidence_scope.header_path,metadata.header_path,RetrievedChunk.metadata,formal,yes,Flatten selected header hierarchy into string array for the cited table/row/cell group.
table_scope.page_start,RetrievedChunk.page_start,RetrievedChunk/CitationCandidate,formal,no,Copy page start when available; null otherwise.
table_scope.page_end,RetrievedChunk.page_end,RetrievedChunk/CitationCandidate,formal,no,Copy page end when available; null otherwise.
evidence_scope.table_unit_type,metadata.table_unit_type,RetrievedChunk.metadata,formal guard,yes,"Allowed values are table_unit, row_unit, cell_group_unit."
evidence_scope.citation_scope,derived from metadata.table_unit_type and query type,CitationCandidate/query policy,formal guard,yes,table_unit -> table; row_unit -> row; cell_group_unit -> cell_group; value is forbidden.
quote.text,RetrievedChunk.text or metadata.retrieval_text,RetrievedChunk/CitationCandidate,formal quote,yes,Use bounded table/row/cell-group summary text; no generated answer text.
provenance_debug.source_csv_path,metadata.source_csv_path,RetrievedChunk.metadata,debug,no,Copy only into provenance_debug; never into canonical_source.
provenance_debug.source_pdf_crop_path,metadata.source_pdf_crop_path,RetrievedChunk.metadata,debug,no,Copy only into provenance_debug; never into canonical_source.
provenance_debug.table_index_unit_id,metadata.table_index_unit_id or chunk_id suffix,RetrievedChunk.metadata,debug,no,Trace prototype table unit identity.
provenance_debug.seed_id,metadata.seed_id,RetrievedChunk.metadata,debug,no,Trace seed grouping only.
provenance_debug.candidate_id,metadata.candidate_id,RetrievedChunk.metadata,debug,no,Trace extraction candidate only.
limitations.production_ready,metadata.production_ready,RetrievedChunk.metadata,limitation guard,yes,Phase7Q requires false; false blocks production formal citation.
limitations.index_unit_status,metadata.index_unit_status,RetrievedChunk.metadata,limitation guard,yes,Phase7Q requires preview_only; preview_only blocks production formal citation.
limitations.value_bboxes_available,metadata.value_bboxes_available,RetrievedChunk.metadata,limitation guard,yes,False forces value_level_citation_claim_allowed=false.
limitations.binding_review_level,metadata.binding_review_limitation/reference_ok/unit_or_note_ok,RetrievedChunk.metadata,limitation guard,yes,Current warning-level binding maps to warning and must be surfaced.
