doc_id,source_file,block_id,original_block_type,new_block_type,caption_text,cleanup_action,caption_cleanup_rule_id,caption_cleanup_reason,confidence,protected_hit,signoff_label,nearby_preview,safe_to_demote
doc_0008,doc_0008.pdf,p2_b0022,table_caption,table_caption,Supplementary Table S1. 2.,skip_uncertain,,Sign-off label is uncertain.,medium,false,uncertain,"paragraph: Here, various design approaches create transcriptional biosensors responsive to Neu5Ac were explored based on the natural TF NanR, whereby the native regulatory circuits were deco... | paragraph: 2 | Growth conditions Unless otherwise stated, all products were purchased from Sigma– Aldrich (Diegem, Belgium). For strain engineering and plasmid construction strains grown in ...",false
doc_0009,doc_0009.pdf,p4_b0038,figure_caption,figure_caption,Fig. 2. 2.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,medium,false,eval_only_noise,"paragraph: Taking pCD-PY as a template, the candidate genes plst6, plst6*, bst and bst* were cloned to the position of pst6-224 to generate pCD-LY, pCD- L*Y, pCD-BY and pCD-B*Y, respectively... | paragraph: 3. Gene knockout via CRISPR-Cas9 system Genes lacZ, nanA, pfkA and nagB were knocked out from E. coli chromosome by CRISPR-Cas9 system. The CRISPR-Cas9 system based on two-plasmid...",false
doc_0010,doc_0010.pdf,p3_b0033,table_caption,table_caption,Table 1. Peptides from osteopontin,skip_uncertain,,Sign-off label is uncertain.,low,false,uncertain,subsection_heading: ### Time Irnin) | subsection_heading: ### 1 00 a,false
doc_0027,doc_0027.pdf,p5_b0081,figure_caption,paragraph,Fig. 4. The P.,demote_to_paragraph,phase5d3_broken_organism_or_abbreviation_prefix,Sign-off safe_to_demote and nearby text strongly indicates split organism/abbreviation.,high,false,safe_to_demote,"paragraph: Previous studies (Resina et al., 2005) have shown that ROL production and productivity levels in high cell density fed-batch cultivations are best when the induction phase (when c... | paragraph: pastoris X-33 DGAS1 strain performed significantly different when compared with the corresponding parental strain grown under the same condi- tions (Resina et al., 2005): first, t...",true
doc_0028,doc_0028.pdf,p5_b0052,table_caption,table_caption,Supplementary Table 2. bORFs not targeted are given in the text.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,medium,false,eval_only_noise,paragraph: Toxin–antitoxin (TA) systems Deletion of a single gene can lead to aberrant behavior in certain gene contexts. Well-studied examples are the prokar- Table I Mutant summary Class T... | paragraph: o 1 1 to +1 X+1 87.5 62.5 37.5 12.5 Total ORF1⁄4open-reading frame. aData are in given Supplementary Table 3. bPercent of the four or eight KmR colonies shown to have the correct ...,false
doc_0028,doc_0028.pdf,p7_b0075,figure_caption,figure_caption,Supplementary Figure 1. Data are in given Supplementary Table 3.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,medium,false,eval_only_noise,"paragraph: AVE-2 s.d. (0.084) (0.084) dsbA fabH potG ydiA ybeD uvrA pps priA ymdA ymdA IIII Figure 6 Profiling gene contribution for growth. Mutants of all 3985 genes in the Keio collection ... | paragraph: Major COG categories: blue diamond, information storage and processing; red square, cellular processes; yellow triangle, metabolism; black filled circle, poorly characterized; and...",false
doc_0046,doc_0046.pdf,p5_b0044,figure_caption,figure_caption,Fig. 4. Confirmation of the GSO6.,skip_keep_as_caption,,Sign-off label is keep_as_caption.,low,false,keep_as_caption,"paragraph: Correspondingly in Figure 2B, we observed more intense SNA lectin binding which, following PNGase treatment, was | paragraph: 0 α-dystroglycan-type O-linked glycan structure. Following the release of O-linked glycans from TNFR2:Fc by β-elimination, the released glycans were analyzed by HPAEC-PAD. The O-l...",false
doc_0050,doc_0050.pdf,p4_b0030,figure_caption,figure_caption,Fig. 3.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,high,false,eval_only_noise,"paragraph: A prokaryotic PQ-loop protein functions as a sucrose transporter. (A) The prokaryotic PQ-loop protein, BjSemiSWEET1, and AtSWEET11 from Arabidopsis were coexpressed with the sucro... | paragraph: Coexpression of AtSWEET1 N and C halves or BjSemiSWEET1 in a yeast hexose transporter mutant EBY4000 and homooligomerization of BjSemiSWEET1. (A) The yeast colonies were first gro...",false
doc_0050,doc_0050.pdf,p8_b0071,figure_caption,figure_caption,Fig. 7.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,high,false,eval_only_noise,paragraph: Evolutionary distances were computed using the Poisson correction method (43) and are in the units of the number of amino acid substitutions per site. The analysis involved 62 ami... | paragraph: Localization of WT and mutant AtSWEET1 proteins in yeast. WT and mutant AtSWEET1-GFP fusion proteins were expressed in the EBY4000 yeast strain. After growth on minimal medium wit...,false
doc_0050,doc_0050.pdf,p8_b0074,figure_caption,figure_caption,Fig. 8.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,high,false,eval_only_noise,paragraph: G180D-GFP. (Scale bar: 10 μm.) | paragraph: Inhibition of glucose transport by coexpressing WT and mutant AtSWEET1 proteins in yeast EBY4000. p112AINE empty or p112AINE-SWEET1 vector was cotransformed with pDRf1 empty or pD...,false
doc_0056,doc_0056.pdf,p7_b0064,table_caption,table_caption,Table 1 (continued),skip_eval_only_noise,,Sign-off label is eval_only_noise.,medium,false,eval_only_noise,paragraph: Putative Protease Trypsin Thermolysin 2334.96 2.3 3469.64 16.3 3760.69 3.6 2823.28 17.0 3114.34 2.3 3909.77 −4.0 3588.53 4.3 3341.37 1.1 3632.46 0.15 aIdentified potential O-glyco... | paragraph: 3.3. Phosphorylation site identification by RPLC–MS/MS The MSA method was applied to identification of the phosphoryla- tion sites to circumvent the problem of poor phosphopeptide...,false
doc_0073,doc_0073.pdf,p5_b0078,figure_caption,figure_caption,Figure 3.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,high,false,eval_only_noise,"paragraph: Identification of 2-FL Produced by Engineered E. coli To confirm biosynthesis of 2-FL in engineered E. coli, subsequent analysis was carried out with MALDI-TOF MS. Figure 3a shows... | paragraph: Representative MS spectrum of 2-FL production identified by MALDI-TOF MS (a). CID tandem MS spectrum of mono-FL ([Hex2 þ Fuc1 þ Na]þ) at m/z 511.164 (b) and di-FL ([Hex2 þ Fuc2 þ ...",false
doc_0073,doc_0073.pdf,p6_b0087,figure_caption,figure_caption,Figure 5.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,high,false,eval_only_noise,paragraph: Impact of modulation of lactose metabolism on 2-FL production in engineered E. coli strains [(a) 4L; (b) 4L M15; (c) 4L YA] harboring plasmid FF. When optical density (OD600) reac... | paragraph: Effects of deletion of the fucI-fucK gene cluster on 2-FL production in engineered E. coli strains [(a) 4LF M15; (b) 4LF YA] harboring plasmid FF. When optical density (OD600) rea...,false
doc_0073,doc_0073.pdf,p7_b0093,figure_caption,figure_caption,Figure 6.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,high,false,eval_only_noise,paragraph: Deletion of fucI-fucK Gene Cluster for Efficient Production of 2-FL L-Fucose is known to be metabolized through the inducible pathway in E. coli by the sequential reactions of L-f... | paragraph: Summary of improved 2-FL production performance in batch fermentation of engineered E. coli strains.,false
doc_0073,doc_0073.pdf,p7_b0095,figure_caption,figure_caption,Figure 7.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,high,false,eval_only_noise,paragraph: Summary of improved 2-FL production performance in batch fermentation of engineered E. coli strains. | paragraph: Growth profiles of engineered E. coli strains with (a) or without (b) plasmid FF.,false
doc_0082,doc_0082.pdf,p8_b0082,table_caption,table_caption,"Supplementary Table 6. All calculations were done with MATLAB (R2013a, The MathWorks, Inc.",skip_uncertain,,Sign-off label is uncertain.,medium,false,uncertain,"paragraph: The stoichiometric model (Supplementary Table 5) used for the calculation of intracellular fluxes was based on a previously published model of K. phaffii central carbon metabolism... | paragraph: , Natick, Massachusetts, USA).",false
doc_0083,doc_0083.pdf,p11_b0104,figure_caption,paragraph,Figure S1. The S.,demote_to_paragraph,phase5d3_broken_organism_or_abbreviation_prefix,Sign-off safe_to_demote and nearby text strongly indicates split organism/abbreviation.,high,false,safe_to_demote,paragraph: Additional file 1: | paragraph: cerevisiae α-factor secretion signal.,true
doc_0090,doc_0090.pdf,p10_b0097,table_caption,table_caption,Table 1. Calcium GEFIs.,skip_uncertain,,Sign-off label is uncertain.,medium,false,uncertain,paragraph: 10 of 37 | subsection_heading: ### Name,false
doc_0090,doc_0090.pdf,p14_b0155,table_caption,table_caption,Table 3. Voltage GEFIs,skip_uncertain,,Sign-off label is uncertain.,medium,false,uncertain,paragraph: 14 of 37 (not more than 3%) and slow kinetics (approximately 26 ms). This probe was recently improved by linker shortening that gave 25–30-fold increase in the rate of response [1... | subsection_heading: ### Name,false
doc_0090,doc_0090.pdf,p17_b0202,table_caption,table_caption,Table 4. Redox GEFIs.,skip_uncertain,,Sign-off label is uncertain.,medium,false,uncertain,"paragraph: 17 of 37 obtaining such indicators is based on the introduction of UAAs into the chromophore region of a FP by coexpressing the orthogonal tRNA/synthetase pair. For example, an or... | subsection_heading: ### Name",false
doc_0094,doc_0094.pdf,p3_b0033,figure_caption,figure_caption,Supplementary Figure 1. The plasmid map is provided in Supplementary Files.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,medium,false,eval_only_noise,"paragraph: Construction of the UPR-Reporter Plasmid pREP-UPSKAR2-sfGFP-NAT The plasmid for monitoring the UPR in recombinant P. pastoris strains, named pREP-UPSKAR2-sfGFP-NAT, carried a 324 ... | paragraph: Construction of Plasmids Bearing the Genes of the Model Recombinant Proteins The expression cassettes for recombinant protein production contained the AOX1 promoter, a secretion s...",false
doc_0094,doc_0094.pdf,p3_b0037,table_caption,table_caption,Supplementary Table 1. The plasmid maps are provided in Supplementary Files.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,medium,false,eval_only_noise,paragraph: The nucleotide sequences of all the above-mentioned primers are provided in | paragraph: Electro-competent P. pastoris X33 (Invitrogen) cells were prepared and transformed [according to the protocol described by Lin-Cereghino et al. (2005)] with the plasmid DNA and th...,false
doc_0101,doc_0101.pdf,p18_b0330,table_caption,table_caption,Table 9. 3.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,medium,false,eval_only_noise,"paragraph: The sialylated HMOs obtained at least at the mg scale are sum- marized in | paragraph: 1.3.1. α2,3-Sialyllacto-N-biose (3’SLNB, NeuAcα2,3Galβ1,3GlcNAc) (38). 3S’LNB (38) is a common moiety of sialylated HMOs, such as LST",false
doc_0101,doc_0101.pdf,p24_b0481,table_caption,table_caption,Table 11. 3.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,medium,false,eval_only_noise,"paragraph: The fucosylated HMOs obtained at least at mg scale are summarized in | paragraph: 2.2.1. 2′-Fucosyllactose (2′FL, Fucα1,2Galβ1,4Glc) (12). 2’FL was successfully different strategies factory approach and it is currently produced at industrial scale. The first on...",false
doc_0101,doc_0101.pdf,p25_b0504,table_caption,table_caption,Table 12. 3.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,medium,false,eval_only_noise,"paragraph: The sialylated HMOs obtained at least at the mg scale are sum- marized in | paragraph: 2.3.1. 3′SL (NeuAcα2,3Galβ1,4Glc) (37). Different engineering strategies had been applied for production of 3’SL (36).",false
doc_0104,doc_0104.pdf,p2_b0022,table_caption,paragraph,Table 1. E.,demote_to_paragraph,phase5d3_broken_organism_or_abbreviation_prefix,Sign-off safe_to_demote and nearby text strongly indicates split organism/abbreviation.,high,false,safe_to_demote,"paragraph: The recombinant B. subtilis used in this study are listed in | paragraph: coli JM109 was used as host for gene clon- ing. The p7Z6, p7S6, p7C6, p7Z6P43, p7S6P43, p7C6P43, pDG-Cre, and pP43NMK were stored in our laboratory.",true
doc_0105,doc_0105.pdf,p2_b0018,table_caption,paragraph,Table 1. E.,demote_to_paragraph,phase5d3_broken_organism_or_abbreviation_prefix,Sign-off safe_to_demote and nearby text strongly indicates split organism/abbreviation.,high,false,safe_to_demote,"paragraph: Strains, Culture, Chemicals, and DNA Manipulation Techniques. The strains and plasmids used in this research are listed in | paragraph: coli was cultured in Luria−Bertani (LB) at 37 °C.",true
doc_0109,doc_0109.pdf,p3_b0039,figure_caption,figure_caption,Fig. 3. 3.,skip_eval_only_noise,,Sign-off label is eval_only_noise.,medium,false,eval_only_noise,paragraph: Complete sequence alignment of PDI1 promoter regions of S. cere- visiae and P. pastoris is performed by using the Pro-Coffee tool that aligns homologous promoter regions [20]. The... | paragraph: 2. Construction of recombinant P. pastoris strains and quantification gene copy number The PDI1 promoter sequence corresponding to 1000bp was ampli- fied from P.pastoris genomic D...,false
doc_0118,doc_0118.pdf,p5_b0053,table_caption,table_caption,Table 1 (continued),skip_eval_only_noise,,Sign-off label is eval_only_noise.,medium,false,eval_only_noise,"paragraph: Vibrio sp. 5.5 (20 b) 57.5 (Takakura et al., (continued on next page) | paragraph: Source Km [mM] kcat/Km [s−1 mM−1]",false
doc_0118,doc_0118.pdf,p6_b0065,figure_caption,paragraph,Fig 4. The C.,demote_to_paragraph,phase5d3_article_plus_single_letter_fragment,Sign-off safe_to_demote and nearby text supports organism/name continuation fragment.,high,false,safe_to_demote,"paragraph: Iwatani et al., 2009; Kakuta et al., 2008; Ni et al., 2007; Schmölzer et al., 2015) adopt a GT-B fold. Glycosyltransferases of this fold family generally lack the Asp-Xxx-Asp moti... | paragraph: jejuni GT42 SiaTs are functional tetramers in solution (Chiu et al., 2007, Chiu et al., 2004). Their oligomerization is however not essential for catalytic ac tivity of the indivi...",true
