doc_id,block_id,caption_text,protect_reason,found_block_type_after,found_text_after,preserved,source
doc_0007,p6_b0128,Table 2. Yuroff et al.,short_caption_with_semantic_anchor,table_caption,Table 2. Yuroff et al.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_signoff/protected_caption_review.csv
doc_0045,p2_b0021,"Table 1 | Humanization of N-glycans in P. pastoris. Selected stud- ies focusing on the humanization of the N-glycans on P. pastoris derived glycoproteins. Bmt, b-mannosyltransferase; Mns, manno- sidase; GnT, b-N-acetylglucosaminyltransferase; UDP-GlcNAc, uridine diphosphate-N-acetylglucosamine; OCH1, outer chain elongation gene 1 content",approved_eval_target_chunk,table_caption,"Table 1 | Humanization of N-glycans in P. pastoris. Selected stud- ies focusing on the humanization of the N-glycans on P. pastoris derived glycoproteins. Bmt, b-mannosyltransferase; Mns, manno- sidase; GnT, b-N-acetylglucosaminyltransferase; UDP-GlcNAc, uridine diphosphate-N-acetylglucosamine; OCH1, outer chain elongation gene 1 content",true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_signoff/protected_caption_review.csv
doc_0071,p10_b0084,Table S1. The primers were shown in Table S2.,short_caption_with_semantic_anchor,table_caption,Table S1. The primers were shown in Table S2.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_signoff/protected_caption_review.csv
doc_0090,p24_b0299,Table 7. GEFIs for measuring kinase activity. blueAKAR cpBFP PKA substrate/ FHA1 from AKAR −21% blueCKAR cpBFP −23% cyan-sinphos cpECFP −10% green-sinphos ExRai-AKAR PKA 185% ExRai-CKAR 155% ExRai-AktAR PKB activity PKB 93% yellow-sinphos cpCitrine sapphireAKAR cp-T-sapphire PKA −25% sapphireCKAR cp-T-sapphire −33% The raw colors refer to the colors of fluorescent proteins used as reporter domains.,approved_eval_target_chunk,table_caption,Table 7. GEFIs for measuring kinase activity. blueAKAR cpBFP PKA substrate/ FHA1 from AKAR −21% blueCKAR cpBFP −23% cyan-sinphos cpECFP −10% green-sinphos ExRai-AKAR PKA 185% ExRai-CKAR 155% ExRai-AktAR PKB activity PKB 93% yellow-sinphos cpCitrine sapphireAKAR cp-T-sapphire PKA −25% sapphireCKAR cp-T-sapphire −33% The raw colors refer to the colors of fluorescent proteins used as reporter domains.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_signoff/protected_caption_review.csv
doc_0110,p13_b0088,TABLE 1 Primers used in this study,short_caption_with_semantic_anchor,table_caption,TABLE 1 Primers used in this study,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_signoff/protected_caption_review.csv
doc_0125,p8_b0057,Table 1 Comparison of enzymatic syntheses of LNT2 and LNnT.,short_caption_with_semantic_anchor,table_caption,Table 1 Comparison of enzymatic syntheses of LNT2 and LNnT.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_signoff/protected_caption_review.csv
doc_0147,p2_b0025,Table S2. The Cre/lox system was used for gene integration into the genome.,short_caption_with_semantic_anchor,table_caption,Table S2. The Cre/lox system was used for gene integration into the genome.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_signoff/protected_caption_review.csv
doc_0154,p5_b0053,Table 2. Recent advances in the production of full-length antibodies in Escherichia coli.,short_caption_with_semantic_anchor,table_caption,Table 2. Recent advances in the production of full-length antibodies in Escherichia coli.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_signoff/protected_caption_review.csv
doc_0167,p2_b0019,Table 1. All primers used for plasmid construction are listed in Table S1.,short_caption_with_semantic_anchor,table_caption,Table 1. All primers used for plasmid construction are listed in Table S1.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_signoff/protected_caption_review.csv
doc_0184,p17_b0145,Table S2 (mBio00617-23-S0008.xlsx). The expression levels of predicted GPI proteins.,short_caption_with_semantic_anchor,table_caption,Table S2 (mBio00617-23-S0008.xlsx). The expression levels of predicted GPI proteins.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_signoff/protected_caption_review.csv
